index,source_index,raw_gripper_m,threshold_m,command_gripper_m,feedback_gripper_m
967,900,0.056093551,0.035000000,0.070000000,0.069500000
972,900,0.055471055,0.035000000,0.070000000,0.069500000
975,900,0.055438224,0.035000000,0.070000000,0.069500000
978,900,0.055120446,0.035000000,0.070000000,0.069500000
982,900,0.055032741,0.035000000,0.070000000,0.069500000
985,900,0.055039145,0.035000000,0.070000000,0.069500000
999,988,0.053947710,0.035000000,0.070000000,0.069500000
1007,988,0.053615574,0.035000000,0.070000000,0.069500000
1012,988,0.054530952,0.035000000,0.070000000,0.069500000
1017,988,0.052693948,0.035000000,0.070000000,0.069500000
1021,988,0.051920973,0.035000000,0.070000000,0.069500000
1025,988,0.051197886,0.035000000,0.070000000,0.069500000
1029,988,0.051382232,0.035000000,0.070000000,0.069500000
1032,988,0.050647940,0.035000000,0.070000000,0.069500000
1035,988,0.047419403,0.035000000,0.070000000,0.069500000
1038,988,0.048190903,0.035000000,0.070000000,0.069500000
1041,988,0.045304626,0.035000000,0.070000000,0.069500000
1044,988,0.049045563,0.035000000,0.070000000,0.069500000
1048,988,0.043650076,0.035000000,0.070000000,0.069500000
1052,988,0.041916013,0.035000000,0.070000000,0.069500000
1055,988,0.040877346,0.035000000,0.070000000,0.069500000
1059,988,0.040316887,0.035000000,0.070000000,0.069500000
1062,988,0.038812622,0.035000000,0.070000000,0.069500000
1065,988,0.036840152,0.035000000,0.070000000,0.069500000
1070,988,0.035343748,0.035000000,0.070000000,0.069500000
1076,988,0.035418741,0.035000000,0.070000000,0.069500000
1093,1081,0.023975050,0.035000000,0.000000000,0.069500000
1113,1081,0.024354585,0.035000000,0.000000000,0.000000000
1117,1081,0.024468834,0.035000000,0.000000000,0.000000000
1122,1081,0.023617394,0.035000000,0.000000000,0.000000000
1128,1081,0.024943281,0.035000000,0.000000000,0.000000000
1133,1081,0.025197793,0.035000000,0.000000000,0.000000000
1139,1081,0.025750900,0.035000000,0.000000000,0.000000000
1143,1081,0.026351471,0.035000000,0.000000000,0.000000000
1150,1081,0.026041655,0.035000000,0.000000000,0.000000000
1158,1081,0.026739256,0.035000000,0.000000000,0.000000000
1163,1081,0.026468782,0.035000000,0.000000000,0.000000000
1167,1081,0.026144661,0.035000000,0.000000000,0.000000000
1172,1081,0.026871234,0.035000000,0.000000000,0.000000000
1180,1081,0.026298471,0.035000000,0.000000000,0.000000000
1185,1081,0.025985030,0.035000000,0.000000000,0.000000000
1190,1081,0.025667096,0.035000000,0.000000000,0.000000000
1197,1081,0.025935678,0.035000000,0.000000000,0.000000000
1203,1081,0.025967252,0.035000000,0.000000000,0.000000000
1209,1081,0.026516650,0.035000000,0.000000000,0.000000000
1216,1081,0.026634611,0.035000000,0.000000000,0.000000000
1238,1226,0.042518180,0.035000000,0.070000000,0.000000000
1256,1226,0.046962697,0.035000000,0.070000000,0.069100000
1261,1226,0.046075221,0.035000000,0.070000000,0.069100000
1269,1226,0.047074076,0.035000000,0.070000000,0.069300000
1274,1226,0.048860941,0.035000000,0.070000000,0.069300000
1280,1226,0.048176236,0.035000000,0.070000000,0.069300000
1283,1226,0.047563076,0.035000000,0.070000000,0.069300000
1288,1226,0.045283515,0.035000000,0.070000000,0.069300000
1292,1226,0.044633694,0.035000000,0.070000000,0.069300000
1297,1226,0.047192112,0.035000000,0.070000000,0.069300000
1302,1226,0.044239696,0.035000000,0.070000000,0.069300000
1308,1226,0.044297528,0.035000000,0.070000000,0.069300000
1316,1226,0.044334132,0.035000000,0.070000000,0.069300000
1319,1226,0.043806005,0.035000000,0.070000000,0.069300000
1326,1226,0.043034688,0.035000000,0.070000000,0.069300000
1330,1226,0.042171538,0.035000000,0.070000000,0.069400000
1334,1226,0.042439565,0.035000000,0.070000000,0.069400000
1339,1226,0.042354286,0.035000000,0.070000000,0.069400000
1343,1226,0.042975776,0.035000000,0.070000000,0.069400000
1346,1226,0.041829955,0.035000000,0.070000000,0.069400000
